language,size,case,repetitions,avg_time_ms,std_time_ms,avg_comparisons,avg_swaps
Python,100,best,20,0.106608378700912,0.001412328827196452,1081,640
Python,100,average,20,0.10323744500055909,0.002766729480643985,1026,580
Python,100,worst,20,0.08918545208871365,0.002211962601464614,944,516
Python,1000,best,20,1.8302082433365285,0.0901958863896219,17583,9708
Python,1000,average,20,1.7943646176718175,0.10458945672959245,16852,9085
Python,1000,worst,20,1.5959373442456126,0.08487272794829791,15965,8316
Python,5000,best,20,11.726379010360688,0.07815643914690161,112126,60932
Python,5000,average,20,11.16412493865937,0.11531440542135855,107710,57120
Python,5000,worst,20,10.4778042412363,0.13357265224074003,103227,53436
Python,10000,best,20,26.981716812588274,4.723662613588503,244460,131956
Python,10000,average,20,24.646174907684326,0.34694313799252985,235336,124193
Python,10000,worst,20,23.229581292252988,0.25504975006382236,226682,116696
